,RMSE,nRMSE(Mean),nRMSE(Max-Min),MAE,nMAE(Mean),nMAE(Max-Min),MAPE,sMAPE,R2,Model
USD_CNY,0.14,0.0201,0.7686,0.13,0.0174,0.666,1.73,1.75,-2.5,ARIMA
USD_KRW,66.81,0.0477,0.8247,62.03,0.0443,0.7657,4.39,4.51,-3.05,ARIMA
USD_JPY,9.75,0.0639,2.3194,9.55,0.0626,2.2713,6.25,6.46,-26.26,ARIMA
USD_AUD,0.02,0.0368,0.639,0.02,0.0335,0.5821,3.39,3.32,-1.44,ARIMA
USD_BRL,0.31,0.053,0.6348,0.27,0.0456,0.547,4.48,4.61,-1.36,ARIMA
USD_DXY,4.62,0.0438,1.1616,4.44,0.0421,1.1168,4.2,4.29,-6.88,ARIMA
Stocks_US500,256.36,0.0434,1.166,236.78,0.04,1.077,3.98,4.07,-6.94,ARIMA
Stocks_USVIX,1.89,0.11,0.442,1.73,0.1003,0.4031,9.69,9.86,0.05,ARIMA
Stocks_CH50,1733.52,0.128,6.153,1725.11,0.1274,6.1232,12.73,13.6,-182.19,ARIMA
Stocks_CSI300,654.43,0.1647,27.0032,654.01,0.1646,26.9859,16.45,17.93,-3531.65,ARIMA
Stocks_SHANGHAI50,361.79,0.1346,9.1531,360.8,0.1343,9.1281,13.42,14.39,-432.58,ARIMA
Stocks_SHANGHAI,524.15,0.1565,6.3484,523.66,0.1563,6.3425,15.63,16.95,-238.44,ARIMA
Stocks_HK50,2358.65,0.1163,2.083,2287.78,0.1128,2.0204,11.21,11.92,-19.52,ARIMA
Stocks_GEI,80.87,0.0196,1.3912,80.28,0.0195,1.3812,1.95,1.97,-10.53,ARIMA
Bonds_CHN_30Y,0.12,0.054,0.3756,0.11,0.0486,0.338,5.0,4.92,0.21,ARIMA
Bonds_CHN_20Y,0.12,0.0527,0.4182,0.12,0.0518,0.4114,5.21,5.23,0.05,ARIMA
Bonds_CHN_10Y,0.15,0.0763,0.4568,0.11,0.0568,0.34,6.09,5.79,-0.08,ARIMA
Bonds_CHN_5Y,0.16,0.0941,0.4838,0.12,0.0702,0.3609,7.54,7.11,-0.31,ARIMA
Bonds_CHN_2Y,0.11,0.0848,0.4022,0.1,0.0772,0.3663,7.99,7.86,0.11,ARIMA
Bonds_CHN_1Y,0.21,0.162,0.7582,0.15,0.1153,0.5396,12.76,11.29,-2.04,ARIMA
Bonds_US_10Y,0.55,0.1273,1.7715,0.53,0.124,1.7251,12.31,13.16,-15.29,ARIMA
Bonds_US_2Y,0.8,0.1918,2.7718,0.78,0.1859,2.6862,18.46,20.46,-37.06,ARIMA
Bonds_US_1Y,0.65,0.1532,5.3278,0.63,0.1478,5.1408,14.76,16.03,-150.82,ARIMA
Bonds_US_3M,0.09,0.0193,0.3358,0.08,0.0187,0.3256,1.88,1.86,0.34,ARIMA
Bonds_AUS_10Y,0.5,0.1142,1.7664,0.49,0.1108,1.7131,11.01,11.69,-16.05,ARIMA
Bonds_AUS_1Y,0.32,0.0772,2.0243,0.31,0.0755,1.9781,7.52,7.83,-22.99,ARIMA
Bonds_BRZ_10Y,1.22,0.0919,0.721,0.99,0.0744,0.5838,7.18,7.58,-1.79,ARIMA
Bonds_BRZ_1Y,1.35,0.1005,0.5593,1.07,0.0797,0.4435,7.57,8.03,-0.78,ARIMA
Bonds_KOR_10Y,0.05,0.0156,0.1626,0.04,0.0149,0.155,1.51,1.5,0.86,ARIMA
Bonds_KOR_1Y,0.08,0.0295,0.3409,0.06,0.0194,0.2246,2.03,1.98,0.37,ARIMA
Com_CrudeOil,3.18,0.0453,1.6341,3.12,0.0445,1.6035,4.44,4.54,-11.65,ARIMA
Com_BrentCrudeOil,3.43,0.0465,1.5386,3.35,0.0453,1.4993,4.51,4.62,-10.65,ARIMA
Com_Gasoline,0.13,0.0631,1.3319,0.11,0.0557,1.1768,5.52,5.72,-9.63,ARIMA
Com_NaturalGas,0.41,0.1352,0.5824,0.34,0.113,0.4868,10.69,11.54,-1.04,ARIMA
Com_Uranium,4.02,0.0513,0.5308,3.51,0.0448,0.4636,4.58,4.46,-0.69,ARIMA
Com_LME_Index,73.24,0.0179,0.3207,72.62,0.0178,0.3179,1.78,1.77,0.43,ARIMA
Com_HRC_Steel,52.41,0.0747,4.4015,48.66,0.0694,4.0864,6.96,7.26,-87.27,ARIMA
