,maxiter,method,order,out_of_sample_size,scoring,scoring_args,seasonal_order,start_params,suppress_warnings,trend,with_intercept,Target
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,USD_CNY
0,50,lbfgs,"(2, 1, 2)",0,mse,{},"(0, 0, 0, 12)",,True,,True,USD_KRW
0,50,lbfgs,"(2, 1, 3)",0,mse,{},"(0, 0, 0, 12)",,True,,True,USD_JPY
0,50,lbfgs,"(2, 1, 3)",0,mse,{},"(0, 0, 0, 12)",,True,,True,USD_AUD
0,50,lbfgs,"(2, 1, 2)",0,mse,{},"(0, 0, 0, 12)",,True,,True,USD_BRL
0,50,lbfgs,"(2, 1, 2)",0,mse,{},"(0, 0, 0, 12)",,True,,True,USD_DXY
0,50,lbfgs,"(2, 1, 3)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Stocks_US500
0,50,lbfgs,"(1, 1, 2)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Stocks_USVIX
0,50,lbfgs,"(2, 1, 0)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Stocks_CH50
0,50,lbfgs,"(0, 1, 3)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Stocks_CSI300
0,50,lbfgs,"(2, 1, 0)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Stocks_SHANGHAI50
0,50,lbfgs,"(0, 1, 3)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Stocks_SHANGHAI
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(0, 0, 3, 12)",,True,,True,Stocks_HK50
0,50,lbfgs,"(0, 1, 0)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Stocks_GEI
0,50,lbfgs,"(2, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_CHN_30Y
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(0, 0, 1, 12)",,True,,True,Bonds_CHN_20Y
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(1, 0, 0, 12)",,True,,True,Bonds_CHN_10Y
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(0, 0, 2, 12)",,True,,True,Bonds_CHN_5Y
0,50,lbfgs,"(1, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_CHN_2Y
0,50,lbfgs,"(1, 1, 3)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_CHN_1Y
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_US_10Y
0,50,lbfgs,"(1, 1, 0)",0,mse,{},"(0, 0, 1, 12)",,True,,True,Bonds_US_2Y
0,50,lbfgs,"(1, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_US_1Y
0,50,lbfgs,"(1, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_US_3M
0,50,lbfgs,"(1, 1, 0)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_AUS_10Y
0,50,lbfgs,"(2, 2, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,False,Bonds_AUS_1Y
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_BRZ_10Y
0,50,lbfgs,"(1, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_BRZ_1Y
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(2, 0, 0, 12)",,True,,True,Bonds_KOR_10Y
0,50,lbfgs,"(1, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Bonds_KOR_1Y
0,50,lbfgs,"(2, 0, 0)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Com_CrudeOil
0,50,lbfgs,"(2, 0, 0)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Com_BrentCrudeOil
0,50,lbfgs,"(3, 1, 2)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Com_Gasoline
0,50,lbfgs,"(1, 0, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Com_NaturalGas
0,50,lbfgs,"(0, 1, 1)",0,mse,{},"(0, 0, 0, 12)",,True,,True,Com_Uranium
0,50,lbfgs,"(0, 1, 2)",0,mse,{},"(2, 0, 0, 12)",,True,,True,Com_LME_Index
0,50,lbfgs,"(1, 1, 2)",0,mse,{},"(0, 0, 1, 12)",,True,,True,Com_HRC_Steel
