,RMSE,nRMSE(Mean),nRMSE(Max-Min),MAE,nMAE(Mean),nMAE(Max-Min),MAPE,sMAPE,R2,Model
USD_CNY,0.13,0.0184,0.7049,0.11,0.0153,0.5838,1.52,1.53,-1.95,BI-LSTM
USD_KRW,76.38,0.0546,0.9429,66.53,0.0475,0.8213,4.69,4.84,-4.29,BI-LSTM
USD_JPY,12.1,0.0793,2.8771,11.54,0.0757,2.7458,7.54,7.87,-40.94,BI-LSTM
USD_AUD,0.02,0.0362,0.6285,0.02,0.0276,0.4799,2.82,2.75,-1.36,BI-LSTM
USD_BRL,0.25,0.0429,0.5135,0.19,0.0318,0.3805,3.08,3.17,-0.55,BI-LSTM
USD_DXY,4.58,0.0434,1.1505,4.13,0.0392,1.038,3.89,3.98,-6.73,BI-LSTM
Stocks_US500,55.66,0.0094,0.2532,49.82,0.0084,0.2266,0.84,0.85,0.63,BI-LSTM
Stocks_USVIX,2.04,0.1187,0.4771,2.04,0.1183,0.4756,12.03,11.64,-0.1,BI-LSTM
Stocks_CH50,1879.23,0.1388,6.6702,1876.93,0.1386,6.6621,13.86,14.89,-214.28,BI-LSTM
Stocks_CSI300,658.81,0.1658,27.1838,658.74,0.1658,27.1812,16.58,18.07,-3579.06,BI-LSTM
Stocks_SHANGHAI50,373.95,0.1392,9.4609,373.81,0.1391,9.4573,13.91,14.95,-462.23,BI-LSTM
Stocks_SHANGHAI,554.01,0.1654,6.71,551.91,0.1648,6.6846,16.46,17.95,-266.49,BI-LSTM
Stocks_HK50,2714.29,0.1338,2.3971,2666.81,0.1314,2.3552,13.09,14.03,-26.18,BI-LSTM
Stocks_GEI,27.55,0.0067,0.474,22.39,0.0054,0.3851,0.54,0.54,-0.34,BI-LSTM
Bonds_CHN_30Y,0.17,0.078,0.5425,0.12,0.0557,0.3873,5.93,5.6,-0.64,BI-LSTM
Bonds_CHN_20Y,0.11,0.0473,0.3753,0.09,0.0387,0.3074,4.02,3.93,0.23,BI-LSTM
Bonds_CHN_10Y,0.19,0.0959,0.5738,0.13,0.0654,0.3913,7.12,6.6,-0.71,BI-LSTM
Bonds_CHN_5Y,0.22,0.1331,0.6841,0.18,0.1073,0.5515,11.49,10.51,-1.63,BI-LSTM
Bonds_CHN_2Y,0.25,0.1846,0.8755,0.21,0.158,0.7493,16.85,15.02,-3.2,BI-LSTM
Bonds_CHN_1Y,0.26,0.1991,0.9319,0.22,0.1694,0.7929,18.14,16.01,-3.6,BI-LSTM
Bonds_US_10Y,0.66,0.155,2.1571,0.63,0.1473,2.0494,14.59,15.86,-23.15,BI-LSTM
Bonds_US_2Y,0.5,0.1209,1.7466,0.46,0.1101,1.5905,10.86,11.62,-14.11,BI-LSTM
Bonds_US_1Y,0.1,0.0232,0.8068,0.1,0.0224,0.7803,2.24,2.25,-2.48,BI-LSTM
Bonds_US_3M,0.44,0.0967,1.6849,0.43,0.0958,1.6692,9.62,9.17,-15.71,BI-LSTM
Bonds_AUS_10Y,0.58,0.1326,2.051,0.56,0.1279,1.978,12.71,13.63,-21.98,BI-LSTM
Bonds_AUS_1Y,0.14,0.0331,0.868,0.12,0.0294,0.7713,2.92,2.97,-3.41,BI-LSTM
Bonds_BRZ_10Y,1.54,0.1161,0.9101,1.36,0.1022,0.8014,9.96,10.61,-3.45,BI-LSTM
Bonds_BRZ_1Y,2.16,0.1609,0.8953,1.92,0.1435,0.7981,13.89,15.16,-3.55,BI-LSTM
Bonds_KOR_10Y,0.1,0.0344,0.3574,0.1,0.0343,0.3571,3.43,3.45,0.33,BI-LSTM
Bonds_KOR_1Y,0.05,0.0179,0.207,0.05,0.0168,0.1945,1.7,1.7,0.77,BI-LSTM
Com_CrudeOil,0.54,0.0077,0.2785,0.53,0.0075,0.2719,0.76,0.76,0.63,BI-LSTM
Com_BrentCrudeOil,0.47,0.0064,0.2115,0.38,0.0051,0.1691,0.51,0.51,0.78,BI-LSTM
Com_Gasoline,0.11,0.053,1.1198,0.1,0.052,1.0988,5.22,5.09,-6.51,BI-LSTM
Com_NaturalGas,0.7,0.2309,0.9951,0.64,0.2117,0.9121,20.48,23.18,-4.94,BI-LSTM
Com_Uranium,6.52,0.0832,0.8601,5.37,0.0684,0.7078,7.04,6.69,-3.43,BI-LSTM
Com_LME_Index,115.92,0.0283,0.5075,87.08,0.0213,0.3812,2.09,2.12,-0.44,BI-LSTM
Com_HRC_Steel,61.92,0.0883,5.2002,57.51,0.082,4.8302,8.23,7.85,-122.21,BI-LSTM
