,RMSE,nRMSE(Mean),nRMSE(Max-Min),MAE,nMAE(Mean),nMAE(Max-Min),MAPE,sMAPE,R2,Model
USD_CNY,0.18,0.0251,0.9604,0.15,0.0206,0.7878,2.05,2.08,-4.47,LSTM
USD_KRW,87.15,0.0623,1.0758,75.22,0.0537,0.9285,5.3,5.5,-5.89,LSTM
USD_JPY,11.98,0.0786,2.8503,11.02,0.0723,2.6221,7.19,7.51,-40.16,LSTM
USD_AUD,0.03,0.0452,0.7854,0.02,0.0364,0.6318,3.7,3.6,-2.69,LSTM
USD_BRL,0.43,0.0742,0.8895,0.38,0.0643,0.7708,6.31,6.59,-3.64,LSTM
USD_DXY,5.22,0.0495,1.3118,4.67,0.0443,1.173,4.39,4.52,-9.05,LSTM
Stocks_US500,184.83,0.0313,0.8407,178.63,0.0302,0.8125,3.01,3.06,-3.13,LSTM
Stocks_USVIX,2.13,0.1237,0.4972,2.12,0.1234,0.4959,12.53,12.13,-0.2,LSTM
Stocks_CH50,1910.15,0.1411,6.78,1909.29,0.141,6.7769,14.1,15.17,-221.42,LSTM
Stocks_CSI300,656.99,0.1653,27.1088,656.73,0.1652,27.0981,16.52,18.01,-3559.34,LSTM
Stocks_SHANGHAI50,358.62,0.1335,9.0731,358.59,0.1334,9.0723,13.34,14.3,-425.03,LSTM
Stocks_SHANGHAI,504.14,0.1505,6.1061,501.88,0.1498,6.0787,14.97,16.19,-220.51,LSTM
Stocks_HK50,2137.14,0.1053,1.8874,2033.55,0.1002,1.7959,9.95,10.52,-15.85,LSTM
Stocks_GEI,52.62,0.0128,0.9052,50.1,0.0122,0.8619,1.22,1.23,-3.88,LSTM
Bonds_CHN_30Y,0.27,0.1204,0.8374,0.23,0.106,0.7376,11.0,10.25,-2.91,LSTM
Bonds_CHN_20Y,0.21,0.0947,0.751,0.18,0.0783,0.6213,8.15,7.68,-2.07,LSTM
Bonds_CHN_10Y,0.28,0.1393,0.8336,0.24,0.118,0.7058,12.44,11.4,-2.6,LSTM
Bonds_CHN_5Y,0.34,0.2017,1.0369,0.31,0.1846,0.9486,19.29,17.21,-5.04,LSTM
Bonds_CHN_2Y,0.34,0.2527,1.1983,0.32,0.235,1.1147,24.6,21.4,-6.87,LSTM
Bonds_CHN_1Y,0.37,0.2829,1.3239,0.34,0.2622,1.2268,27.52,23.55,-8.28,LSTM
Bonds_US_10Y,0.79,0.1842,2.5638,0.75,0.1738,2.4194,17.21,19.03,-33.12,LSTM
Bonds_US_2Y,0.54,0.1298,1.8757,0.46,0.1097,1.5853,10.76,11.64,-16.43,LSTM
Bonds_US_1Y,0.22,0.0509,1.7717,0.21,0.0498,1.7335,4.98,5.07,-15.79,LSTM
Bonds_US_3M,0.55,0.1222,2.1277,0.55,0.1218,2.1219,12.21,11.5,-25.65,LSTM
Bonds_AUS_10Y,0.75,0.171,2.6449,0.72,0.1651,2.553,16.41,17.99,-37.22,LSTM
Bonds_AUS_1Y,0.25,0.0612,1.6045,0.21,0.0523,1.3719,5.2,5.39,-14.07,LSTM
Bonds_BRZ_10Y,1.84,0.1387,1.0879,1.68,0.1264,0.9916,12.38,13.34,-5.36,LSTM
Bonds_BRZ_1Y,2.47,0.1844,1.0261,2.28,0.1697,0.9443,16.54,18.25,-4.98,LSTM
Bonds_KOR_10Y,0.2,0.0683,0.711,0.19,0.0637,0.6628,6.28,6.52,-1.66,LSTM
Bonds_KOR_1Y,0.07,0.0245,0.2835,0.05,0.0186,0.2155,1.92,1.89,0.57,LSTM
Com_CrudeOil,2.08,0.0297,1.0689,1.58,0.0225,0.8119,2.27,2.32,-4.41,LSTM
Com_BrentCrudeOil,2.21,0.0299,0.9916,1.79,0.0242,0.802,2.44,2.49,-3.84,LSTM
Com_Gasoline,0.07,0.0343,0.7244,0.05,0.0262,0.5542,2.58,2.53,-2.14,LSTM
Com_NaturalGas,0.67,0.2214,0.9541,0.62,0.2061,0.8881,20.02,22.51,-4.46,LSTM
Com_Uranium,5.49,0.0701,0.7248,4.72,0.0602,0.6222,6.17,5.91,-2.15,LSTM
Com_LME_Index,148.76,0.0364,0.6513,119.3,0.0292,0.5223,2.87,2.93,-1.37,LSTM
Com_HRC_Steel,54.72,0.078,4.5957,50.97,0.0727,4.2804,7.29,7.0,-95.23,LSTM
