,RMSE,nRMSE(Mean),nRMSE(Max-Min),MAE,nMAE(Mean),nMAE(Max-Min),MAPE,sMAPE,R2,Model
USD_CNY,0.08,0.0114,0.4363,0.08,0.011,0.4192,1.09,1.1,-0.13,Prophet
USD_KRW,103.92,0.0743,1.2828,97.22,0.0695,1.2002,6.89,7.17,-8.8,Prophet
USD_JPY,9.34,0.0613,2.2217,8.17,0.0536,1.9438,5.33,5.16,-24.01,Prophet
USD_AUD,0.01,0.0098,0.1696,0.01,0.0088,0.1536,0.89,0.89,0.83,Prophet
USD_BRL,0.23,0.0389,0.4667,0.19,0.032,0.383,3.27,3.19,-0.28,Prophet
USD_DXY,3.59,0.034,0.9024,3.39,0.0321,0.8516,3.2,3.25,-3.76,Prophet
Stocks_US500,222.53,0.0376,1.0122,216.29,0.0366,0.9838,3.67,3.74,-4.98,Prophet
Stocks_USVIX,1.02,0.0591,0.2377,0.96,0.0558,0.2245,5.57,5.52,0.73,Prophet
Stocks_CH50,2183.9,0.1613,7.7516,2178.08,0.1609,7.731,16.08,17.49,-289.74,Prophet
Stocks_CSI300,724.29,0.1822,29.886,724.08,0.1822,29.8772,18.22,20.05,-4326.2,Prophet
Stocks_SHANGHAI50,309.29,0.1151,7.8251,304.05,0.1131,7.6924,11.3,12.0,-315.89,Prophet
Stocks_SHANGHAI,489.28,0.1461,5.9261,489.11,0.146,5.924,14.6,15.75,-207.64,Prophet
Stocks_HK50,2999.05,0.1478,2.6486,2968.81,0.1463,2.6219,14.59,15.76,-32.18,Prophet
Stocks_GEI,59.05,0.0143,1.0159,48.02,0.0117,0.8261,1.17,1.18,-5.15,Prophet
Bonds_CHN_30Y,0.24,0.1073,0.7464,0.19,0.0837,0.5822,8.81,8.24,-2.1,Prophet
Bonds_CHN_20Y,0.18,0.0781,0.62,0.13,0.0582,0.4618,6.08,5.83,-1.09,Prophet
Bonds_CHN_10Y,0.27,0.1337,0.7998,0.2,0.0978,0.5855,10.54,9.59,-2.32,Prophet
Bonds_CHN_5Y,0.13,0.0777,0.3992,0.12,0.0739,0.3797,7.63,7.5,0.11,Prophet
Bonds_CHN_2Y,0.16,0.1154,0.5472,0.12,0.0908,0.4307,9.66,9.18,-0.64,Prophet
Bonds_CHN_1Y,0.3,0.2308,1.0802,0.22,0.1699,0.795,18.69,15.86,-5.18,Prophet
Bonds_US_10Y,0.32,0.0755,1.0511,0.25,0.0573,0.7979,5.63,5.38,-4.73,Prophet
Bonds_US_2Y,0.72,0.1733,2.5039,0.7,0.1669,2.411,16.6,15.25,-30.06,Prophet
Bonds_US_1Y,0.34,0.0809,2.8135,0.32,0.0748,2.6026,7.48,7.17,-41.34,Prophet
Bonds_US_3M,1.01,0.2246,3.9115,0.88,0.1957,3.4079,19.79,17.51,-89.06,Prophet
Bonds_AUS_10Y,0.29,0.0655,1.0127,0.23,0.0531,0.8212,5.24,5.45,-4.6,Prophet
Bonds_AUS_1Y,0.43,0.1054,2.7636,0.42,0.1035,2.7131,10.38,9.84,-43.72,Prophet
Bonds_BRZ_10Y,1.17,0.0884,0.6934,0.96,0.0721,0.5654,6.96,7.33,-1.58,Prophet
Bonds_BRZ_1Y,1.07,0.0799,0.4443,0.68,0.0506,0.2814,4.65,4.93,-0.12,Prophet
Bonds_KOR_10Y,0.19,0.0629,0.6543,0.16,0.0533,0.5539,5.45,5.33,-1.25,Prophet
Bonds_KOR_1Y,0.25,0.0889,1.0285,0.19,0.0683,0.7907,7.05,6.65,-4.7,Prophet
Com_CrudeOil,6.64,0.0946,3.4106,6.38,0.0908,3.2723,9.11,9.59,-54.12,Prophet
Com_BrentCrudeOil,7.91,0.1071,3.5468,7.53,0.1019,3.3731,10.23,10.85,-60.93,Prophet
Com_Gasoline,0.26,0.1292,2.7277,0.25,0.1241,2.6215,12.48,13.39,-43.57,Prophet
Com_NaturalGas,1.05,0.3488,1.5028,0.92,0.3047,1.3131,29.12,35.73,-12.55,Prophet
Com_Uranium,9.67,0.1233,1.2751,9.63,0.1228,1.2699,12.33,13.16,-8.75,Prophet
Com_LME_Index,135.48,0.0331,0.5931,121.83,0.0298,0.5334,2.97,2.97,-0.96,Prophet
Com_HRC_Steel,40.57,0.0579,3.4071,39.24,0.056,3.2957,5.59,5.76,-51.89,Prophet
