,changepoint_prior_scale,changepoint_range,seasonality_prior_scale,seasonality_mode,yearly_seasonality,Target
0,3.189158533671879,0.8774722273446361,4.60177461964919,multiplicative,29,USD_CNY
0,2.8070867193432294,0.8186873793240432,16.058313733911653,multiplicative,26,USD_KRW
0,4.073405607504511,0.7270702981893056,12.517796775670984,additive,29,USD_JPY
0,2.083454404118074,0.8835067542767999,15.40972246966883,multiplicative,12,USD_AUD
0,3.727642396027365,0.7500435143563913,11.544275156384677,multiplicative,19,USD_BRL
0,2.837720163960283,0.8018841101251977,6.411041349141759,additive,13,USD_DXY
0,1.7946354162801406,0.8989278007983466,6.252204620877687,multiplicative,3,Stocks_US500
0,0.07673447759139183,0.7812984911637068,18.158507883791742,additive,7,Stocks_USVIX
0,3.2415333751128443,0.7067430250484458,1.0020182782290927,additive,17,Stocks_CH50
0,3.0058838872294595,0.8121425898621952,9.887554406804002,multiplicative,9,Stocks_CSI300
0,4.604414254800286,0.7921961343576571,6.568003452530997,multiplicative,17,Stocks_SHANGHAI50
0,4.470527845340025,0.7247774341368732,13.49246562723297,multiplicative,3,Stocks_SHANGHAI
0,0.8146532447625328,0.8811081177183395,2.506589167931325,additive,19,Stocks_HK50
0,1.3234310173487662,0.8767934931174329,0.530626116822553,additive,27,Stocks_GEI
0,0.6514126745822963,0.7335339101654872,8.301426573379242,additive,20,Bonds_CHN_30Y
0,1.56266935303287,0.7501983713942337,2.741371864826388,additive,25,Bonds_CHN_20Y
0,3.568868891521688,0.7579699210952878,10.684136214002757,additive,24,Bonds_CHN_10Y
0,3.629924704176436,0.7157209921452898,6.898221569862778,additive,25,Bonds_CHN_5Y
0,1.5779741190635599,0.7263299307595527,4.764556546560319,additive,26,Bonds_CHN_2Y
0,3.311151542246798,0.7277402297711786,5.38655351769955,multiplicative,27,Bonds_CHN_1Y
0,4.8760268659413075,0.7114962085358909,19.938821098090386,multiplicative,20,Bonds_US_10Y
0,0.367463249275064,0.8520070760039831,5.90292162886735,multiplicative,28,Bonds_US_2Y
0,4.154835027253979,0.8697475141726333,9.258348598108718,multiplicative,15,Bonds_US_1Y
0,1.4745759058345054,0.8892070561765446,3.418321162547831,multiplicative,14,Bonds_US_3M
0,4.5013714150267905,0.8111651935207215,15.467275167512899,additive,21,Bonds_AUS_10Y
0,3.2010005328837816,0.8996213194813838,1.0799009893881648,additive,16,Bonds_AUS_1Y
0,4.444453175672524,0.7274602380572567,16.898708462445384,additive,1,Bonds_BRZ_10Y
0,2.868447174011004,0.7361992545545983,9.865465854038419,additive,19,Bonds_BRZ_1Y
0,1.5133058838637417,0.8401602164820341,6.481764046469717,multiplicative,19,Bonds_KOR_10Y
0,3.018786013746189,0.8920707944378794,9.616584265296826,multiplicative,24,Bonds_KOR_1Y
0,3.450537852906414,0.7991936194215501,18.763799297278556,additive,12,Com_CrudeOil
0,0.6481682229928798,0.8309860215012386,6.799531957779626,multiplicative,25,Com_BrentCrudeOil
0,1.9328431399989925,0.8338309045966983,13.099755547797034,multiplicative,29,Com_Gasoline
0,1.8097446640245236,0.8759449208759724,8.661588393553256,additive,16,Com_NaturalGas
0,0.7267656074564365,0.8230180396296325,12.577002802370135,multiplicative,30,Com_Uranium
0,0.03134482663239441,0.7454571715544889,12.455805219878371,multiplicative,6,Com_LME_Index
0,4.5096136134697575,0.8174848041957208,15.170013591366418,additive,12,Com_HRC_Steel
