Target,RMSE,nRMSE(Mean),nRMSE(Max-Min),MAE,nMAE(Mean),nMAE(Max-Min),MAPE,sMAPE,R2,Model
USD_CNY,0.08,0.0114,0.4363,0.08,0.011,0.4192,1.09,1.1,-0.13,Prophet
USD_KRW,66.81,0.0477,0.8247,62.03,0.0443,0.7657,4.39,4.51,-3.05,ARIMA
USD_JPY,9.34,0.0613,2.2217,8.17,0.0536,1.9438,5.33,5.16,-24.01,Prophet
USD_AUD,0.01,0.0098,0.1696,0.01,0.0088,0.1536,0.89,0.89,0.83,Prophet
USD_BRL,0.23,0.0389,0.4667,0.19,0.032,0.383,3.27,3.19,-0.28,Prophet
USD_DXY,3.59,0.034,0.9024,3.39,0.0321,0.8516,3.2,3.25,-3.76,Prophet
Stocks_US500,55.66,0.0094,0.2532,49.82,0.0084,0.2266,0.84,0.85,0.63,BI-LSTM
Stocks_USVIX,1.02,0.0591,0.2377,0.96,0.0558,0.2245,5.57,5.52,0.73,Prophet
Stocks_CH50,1733.52,0.128,6.153,1725.11,0.1274,6.1232,12.73,13.6,-182.19,ARIMA
Stocks_CSI300,654.43,0.1647,27.0032,654.01,0.1646,26.9859,16.45,17.93,-3531.65,ARIMA
Stocks_SHANGHAI50,309.29,0.1151,7.8251,304.05,0.1131,7.6924,11.3,12.0,-315.89,Prophet
Stocks_SHANGHAI,489.28,0.1461,5.9261,489.11,0.146,5.924,14.6,15.75,-207.64,Prophet
Stocks_HK50,2137.14,0.1053,1.8874,2033.55,0.1002,1.7959,9.95,10.52,-15.85,LSTM
Stocks_GEI,27.55,0.0067,0.474,22.39,0.0054,0.3851,0.54,0.54,-0.34,BI-LSTM
Bonds_CHN_30Y,0.12,0.054,0.3756,0.11,0.0486,0.338,5.0,4.92,0.21,ARIMA
Bonds_CHN_20Y,0.09,0.042,0.3331,0.09,0.0409,0.3246,4.15,4.13,0.4,GRU
Bonds_CHN_10Y,0.15,0.0763,0.4568,0.11,0.0568,0.34,6.09,5.79,-0.08,ARIMA
Bonds_CHN_5Y,0.13,0.0777,0.3992,0.12,0.0739,0.3797,7.63,7.5,0.11,Prophet
Bonds_CHN_2Y,0.11,0.0848,0.4022,0.1,0.0772,0.3663,7.99,7.86,0.11,ARIMA
Bonds_CHN_1Y,0.21,0.162,0.7582,0.15,0.1153,0.5396,12.76,11.29,-2.04,ARIMA
Bonds_US_10Y,0.32,0.0755,1.0511,0.25,0.0573,0.7979,5.63,5.38,-4.73,Prophet
Bonds_US_2Y,0.5,0.1209,1.7466,0.46,0.1101,1.5905,10.86,11.62,-14.11,BI-LSTM
Bonds_US_1Y,0.1,0.0232,0.8068,0.1,0.0224,0.7803,2.24,2.25,-2.48,BI-LSTM
Bonds_US_3M,0.09,0.0193,0.3358,0.08,0.0187,0.3256,1.88,1.86,0.34,ARIMA
Bonds_AUS_10Y,0.29,0.0655,1.0127,0.23,0.0531,0.8212,5.24,5.45,-4.6,Prophet
Bonds_AUS_1Y,0.14,0.0331,0.868,0.12,0.0294,0.7713,2.92,2.97,-3.41,BI-LSTM
Bonds_BRZ_10Y,1.17,0.0884,0.6934,0.96,0.0721,0.5654,6.96,7.33,-1.58,Prophet
Bonds_BRZ_1Y,1.07,0.0799,0.4443,0.68,0.0506,0.2814,4.65,4.93,-0.12,Prophet
Bonds_KOR_10Y,0.05,0.0156,0.1626,0.04,0.0149,0.155,1.51,1.5,0.86,ARIMA
Bonds_KOR_1Y,0.05,0.0179,0.207,0.05,0.0168,0.1945,1.7,1.7,0.77,BI-LSTM
Com_CrudeOil,0.54,0.0077,0.2785,0.53,0.0075,0.2719,0.76,0.76,0.63,BI-LSTM
Com_BrentCrudeOil,0.47,0.0064,0.2115,0.38,0.0051,0.1691,0.51,0.51,0.78,BI-LSTM
Com_Gasoline,0.06,0.0316,0.6666,0.06,0.0311,0.6564,3.12,3.17,-1.66,GRU
Com_NaturalGas,0.41,0.1352,0.5824,0.34,0.113,0.4868,10.69,11.54,-1.04,ARIMA
Com_Uranium,2.85,0.0364,0.3765,2.51,0.0321,0.3317,3.26,3.21,0.15,GRU
Com_LME_Index,73.24,0.0179,0.3207,72.62,0.0178,0.3179,1.78,1.77,0.43,ARIMA
Com_HRC_Steel,40.57,0.0579,3.4071,39.24,0.056,3.2957,5.59,5.76,-51.89,Prophet
